"","Y","Y2","FEM","AGE","EDU"
"493",800,801,0,49,16
"494",137.5,138.5,0,61,16
"495",137.5,138.5,1,61,9
"496",425,426,1,25,16
"497",0,1,0,55,12
"498",112.5,113.5,1,21,12
"499",225,226,1,21,12
"500",1100,1101,0,47,18
"501",0,1,0,22,16
"502",25,26,1,40,12
"503",500,501,1,62,14
"504",0,1,1,37,12
"505",900,901,0,62,16
"506",175,176,1,39,12
"507",425,426,0,38,12
"508",137.5,138.5,1,20,12
"509",87.5,88.5,1,49,12
"510",0,1,1,39,14
"511",87.5,88.5,1,49,14
"512",175,176,1,37,12
"513",175,176,1,59,12
"514",112.5,113.5,1,47,12
"515",175,176,1,37,14
"516",500,501,0,56,18
"517",0,1,0,46,12
"518",175,176,0,28,12
"519",62.5,63.5,1,59,16
"520",600,601,0,39,16
"521",1200,1201,0,38,14
"522",62.5,63.5,1,64,12
"523",900,901,0,54,16
"524",275,276,1,24,12
"525",425,426,0,38,14
"526",425,426,0,54,16
"527",425,426,0,54,12
"528",1000,1001,0,41,18
"529",25,26,1,43,12
"530",425,426,0,43,12
"531",900,901,0,60,12
"532",425,426,0,37,14
"533",62.5,63.5,1,56,9
"534",600,601,1,59,16
"535",0,1,0,20,16
"536",225,226,0,34,12
"537",175,176,1,21,9
"538",325,326,1,48,16
"539",500,501,0,38,12
"540",0,1,1,45,14
"541",0,1,1,58,12
"542",800,801,0,57,12
"543",175,176,0,60,16
"544",600,601,0,38,16
"545",175,176,0,34,12
"546",87.5,88.5,0,60,12
"547",425,426,0,29,12
"548",87.5,88.5,1,36,9
"549",175,176,0,34,16
"550",900,901,0,47,12
"551",112.5,113.5,1,57,9
"552",275,276,1,62,12
"553",25,26,0,55,12
"554",225,226,1,55,12
"555",137.5,138.5,1,53,16
"556",275,276,0,47,12
"557",500,501,1,49,12
"558",0,1,0,20,16
"559",0,1,1,28,16
"560",25,26,0,23,16
"561",425,426,0,33,16
"562",800,801,0,58,16
"563",375,376,1,26,16
"564",175,176,0,63,16
"565",87.5,88.5,1,60,14
"566",0,1,1,40,16
"567",37.5,38.5,1,62,12
"568",225,226,0,62,12
"569",225,226,0,61,12
"570",25,26,1,64,14
